timestamp,symbol,option_type,strike,latest_trade_price,latest_quote_bid,latest_quote_ask,implied_volatility,delta,gamma,theta,vega,rho,price
2025-07-08T12:31:47.639743,SPY250708P00617000,put,617.0,0.09,0.04,0.05,0.08462672929540051,-0.07325154142978185,0.05055047384712946,-0.1849392945749388,0.04518239553717453,-0.0012485246454340545,620.89
2025-07-08T12:31:47.639743,SPY250708C00615000,call,615.0,5.77,5.8,6.0,0.01,1.0,9.854605347703836e-75,-0.08423503550612431,1.040820176425199e-75,0.016847007101224862,620.89
2025-07-08T12:31:47.639743,SPY250708C00622000,call,622.0,0.25,0.28,0.29,0.048951511460878463,0.26031829691887864,0.2040205036325629,-0.28028071245219827,0.10548152188514269,0.004421343215724999,620.89
2025-07-08T12:31:47.639743,SPY250708P00628000,put,628.0,7.46,7.14,7.2,0.19507815381266763,-0.8635895159380333,0.03449148418249873,-0.6186902416449074,0.07106520045782667,-0.014894632727418235,620.89
2025-07-08T12:31:47.639743,SPY250708C00626000,call,626.0,0.02,0.03,0.04,0.07621772759786635,0.021784556825238777,0.021013843374028,-0.06631510651063735,0.01691601077748116,0.00037002228732116454,620.89
2025-07-08T12:31:47.639743,SPY250708P00614000,put,614.0,0.02,0.01,0.05,0.10170016999346454,-0.016806674168088787,0.012631653895047926,-0.0675615919218292,0.01356807896139992,-0.0002864409842253796,620.89
2025-07-08T12:31:47.639743,SPY250708C00623000,call,623.0,0.11,0.07,0.08,0.054183990040748385,0.125796575345768,0.11742073833241007,-0.19273543391808048,0.06719736687201325,0.002136872210039284,620.89
2025-07-08T12:31:47.639743,SPY250708C00614000,call,614.0,6.42,6.79,7.01,0.01,1.0,8.972284730198919e-102,-0.08409806796871598,9.476315536064237e-103,0.016819613593743194,620.89
2025-07-08T12:31:47.639743,SPY250708C00625000,call,625.0,0.02,0.01,0.04,0.06329101579355118,0.025673134907753536,0.029053886235850902,-0.06364117068858989,0.01942149974950481,0.0004361696639143865,620.89
2025-07-08T12:31:47.639743,SPY250708P00616000,put,616.0,0.06,0.05,0.06,0.09246310170989887,-0.04800793061361075,0.033225065394274514,-0.1459147491611374,0.03244671754994115,-0.0008182916174982121,620.89
2025-07-08T12:31:47.639743,SPY250708P00621000,put,621.0,0.77,0.78,0.79,0.05842198299873002,-0.5046296289051415,0.21010495477527424,-0.33567408374427005,0.12964299459900222,-0.008605191514819543,620.89
2025-07-08T12:31:47.639743,SPY250708C00624000,call,624.0,0.02,0.01,0.02,0.04994382689883313,0.03161474318311589,0.0437799809675142,-0.06035563420299196,0.023093717615372968,0.0005372404902711813,620.89
2025-07-08T12:31:47.639743,SPY250708P00627000,put,627.0,6.31,6.21,6.27,0.15439305193328504,-0.8831279683626951,0.039130376755248726,-0.4166016844156887,0.06380845769021773,-0.015195488336348331,620.89
2025-07-08T12:31:47.639743,SPY250708C00619000,call,619.0,2.12,2.09,2.13,0.058347680394404494,0.8518992177522866,0.12191673563147085,-0.29135464241768727,0.07513172964617283,0.014433306994800475,620.89
2025-07-08T12:31:47.639743,SPY250708P00625000,put,625.0,4.12,4.15,4.16,0.0861122727866329,-0.9238037936163797,0.05119518841135112,-0.12134047778205354,0.04656189674592184,-0.01582741198406785,620.89
2025-07-08T12:31:47.639743,SPY250708P00615000,put,615.0,0.02,0.05,0.06,0.08905518045105698,-0.018921896254824988,0.01596016509500359,-0.0652318566693734,0.015011809113031096,-0.0003224223607033814,620.89
