timestamp,symbol,option_type,strike,latest_trade_price,latest_quote_bid,latest_quote_ask,implied_volatility,delta,gamma,theta,vega,rho,price,price_diff_3_periods,price_diff_6_periods,price_diff_12_periods,price_diff_15_periods,price_diff_30_periods
2025-07-08 12:31:47.639743,SPY250708P00617000,put,617.0,0.09,0.04,0.05,0.0846267292954005,-0.0732515414297818,0.0505504738471294,-0.1849392945749388,0.0451823955371745,-0.001248524645434,620.89,0.851851851851852,0.8333333333333335,0.9814814814814815,1.0296296296296297,1.1148148148148147
2025-07-08 12:31:47.639743,SPY250708C00615000,call,615.0,5.77,5.8,6.0,0.01,1.0,9.854605347703836e-75,-0.0842350355061243,1.040820176425199e-75,0.0168470071012248,620.89,1.0075101097631427,1.0034662045060658,0.990467937608319,0.9795493934142115,0.9590410167533215
2025-07-08 12:31:47.639743,SPY250708C00622000,call,622.0,0.25,0.28,0.29,0.0489515114608784,0.2603182969188786,0.2040205036325629,-0.2802807124521982,0.1054815218851426,0.0044213432157249,620.89,0.9333333333333332,0.9266666666666666,0.85,0.832,0.782666666666667
2025-07-08 12:31:47.639743,SPY250708P00628000,put,628.0,7.46,7.14,7.2,0.1950781538126676,-0.8635895159380333,0.0344914841824987,-0.6186902416449074,0.0710652004578266,-0.0148946327274182,620.89,0.9857015192135835,0.971403038427167,0.9642537980339588,0.9628239499553172,0.9599642537980336
2025-07-08 12:31:47.639743,SPY250708C00626000,call,626.0,0.02,0.03,0.04,0.0762177275978663,0.0217845568252387,0.021013843374028,-0.0663151065106373,0.0169160107774811,0.0003700222873211,620.89,0.6666666666666667,0.5833333333333334,0.8749999999999999,0.8,0.8833333333333335
2025-07-08 12:31:47.639743,SPY250708P00614000,put,614.0,0.02,0.01,0.05,0.1017001699934645,-0.0168066741680887,0.0126316538950479,-0.0675615919218292,0.0135680789613999,-0.0002864409842253,620.89,1.1666666666666667,1.6666666666666665,1.625,1.5000000000000002,1.5000000000000002
2025-07-08 12:31:47.639743,SPY250708C00623000,call,623.0,0.11,0.07,0.08,0.0541839900407483,0.125796575345768,0.11742073833241,-0.1927354339180804,0.0671973668720132,0.0021368722100392,620.89,0.9696969696969697,0.9242424242424243,0.7803030303030303,0.7696969696969699,0.7151515151515151
2025-07-08 12:31:47.639743,SPY250708C00614000,call,614.0,6.42,6.79,7.01,0.01,1.0,8.972284730198919e-102,-0.0840980679687159,9.476315536064237e-103,0.0168196135937431,620.89,0.9999999999999999,1.0000000000000002,0.9958463136033231,0.9916926272066463,0.9927829698857735
2025-07-08 12:31:47.639743,SPY250708C00625000,call,625.0,0.02,0.01,0.04,0.0632910157935511,0.0256731349077535,0.0290538862358509,-0.0636411706885898,0.0194214997495048,0.0004361696639143,620.89,1.3333333333333335,1.2500000000000002,1.0833333333333333,1.0666666666666669,1.1000000000000003
2025-07-08 12:31:47.639743,SPY250708P00616000,put,616.0,0.06,0.05,0.06,0.0924631017098988,-0.0480079306136107,0.0332250653942745,-0.1459147491611374,0.0324467175499411,-0.0008182916174982,620.89,0.6111111111111112,0.888888888888889,1.027777777777778,0.988888888888889,1.0333333333333337
